pageid,ns,title,contentmodel,pagelanguage,pagelanguagehtmlcode,pagelanguagedir,touched,lastrevid,length,watchers,talkid,fullurl,editurl,canonicalurl
34742655,0,'Abd al-Razzaq al-Hasani,wikitext,en,en,ltr,2024-10-07T13:48:43Z,1238643436,2968,,36100085,https://en.wikipedia.org/wiki/%27Abd_al-Razzaq_al-Hasani,https://en.wikipedia.org/w/index.php?title=%27Abd_al-Razzaq_al-Hasani&action=edit,https://en.wikipedia.org/wiki/%27Abd_al-Razzaq_al-Hasani
57710979,0,8th National Assembly of Slovenia,wikitext,en,en,ltr,2024-10-09T04:13:17Z,1249160149,101124,,57904117,https://en.wikipedia.org/wiki/8th_National_Assembly_of_Slovenia,https://en.wikipedia.org/w/index.php?title=8th_National_Assembly_of_Slovenia&action=edit,https://en.wikipedia.org/wiki/8th_National_Assembly_of_Slovenia
52888071,0,A. J. R. de Soysa,wikitext,en,en,ltr,2024-09-27T02:05:41Z,1187003494,4361,,52888138,https://en.wikipedia.org/wiki/A._J._R._de_Soysa,https://en.wikipedia.org/w/index.php?title=A._J._R._de_Soysa&action=edit,https://en.wikipedia.org/wiki/A._J._R._de_Soysa
6040733,0,A. R. F. Webber,wikitext,en,en,ltr,2024-10-05T14:25:41Z,1156355955,6009,,10338570,https://en.wikipedia.org/wiki/A._R._F._Webber,https://en.wikipedia.org/w/index.php?title=A._R._F._Webber&action=edit,https://en.wikipedia.org/wiki/A._R._F._Webber
51745938,0,A. Wahab,wikitext,en,en,ltr,2024-09-27T02:03:27Z,1213828687,1705,,51811357,https://en.wikipedia.org/wiki/A._Wahab,https://en.wikipedia.org/w/index.php?title=A._Wahab&action=edit,https://en.wikipedia.org/wiki/A._Wahab
64433698,0,AKM Fazlul Haque (Jatiya Party politician),wikitext,en,en,ltr,2024-09-27T02:25:42Z,1245402550,2009,,64433703,https://en.wikipedia.org/wiki/AKM_Fazlul_Haque_(Jatiya_Party_politician),https://en.wikipedia.org/w/index.php?title=AKM_Fazlul_Haque_(Jatiya_Party_politician)&action=edit,https://en.wikipedia.org/wiki/AKM_Fazlul_Haque_(Jatiya_Party_politician)
54988209,0,AKM Fazlul Kabir Chowdhury,wikitext,en,en,ltr,2024-09-27T02:09:23Z,1245380545,5126,,54988368,https://en.wikipedia.org/wiki/AKM_Fazlul_Kabir_Chowdhury,https://en.wikipedia.org/w/index.php?title=AKM_Fazlul_Kabir_Chowdhury&action=edit,https://en.wikipedia.org/wiki/AKM_Fazlul_Kabir_Chowdhury
70349044,0,AKM Hafizuddin,wikitext,en,en,ltr,2024-09-27T02:34:59Z,1246694478,4788,,70349046,https://en.wikipedia.org/wiki/AKM_Hafizuddin,https://en.wikipedia.org/w/index.php?title=AKM_Hafizuddin&action=edit,https://en.wikipedia.org/wiki/AKM_Hafizuddin
64626956,0,Abai Tasbolatov,wikitext,en,en,ltr,2024-10-07T14:38:54Z,1243509983,7291,,64630030,https://en.wikipedia.org/wiki/Abai_Tasbolatov,https://en.wikipedia.org/w/index.php?title=Abai_Tasbolatov&action=edit,https://en.wikipedia.org/wiki/Abai_Tasbolatov
33422765,0,Abakar Sabone,wikitext,en,en,ltr,2024-10-05T14:33:14Z,1236990005,11512,,33422770,https://en.wikipedia.org/wiki/Abakar_Sabone,https://en.wikipedia.org/w/index.php?title=Abakar_Sabone&action=edit,https://en.wikipedia.org/wiki/Abakar_Sabone
2545676,0,Abang Muhammad Salahuddin,wikitext,en,en,ltr,2024-10-07T15:06:39Z,1249027291,10505,,7028699,https://en.wikipedia.org/wiki/Abang_Muhammad_Salahuddin,https://en.wikipedia.org/w/index.php?title=Abang_Muhammad_Salahuddin&action=edit,https://en.wikipedia.org/wiki/Abang_Muhammad_Salahuddin
20380987,0,Abas Ermenji,wikitext,en,en,ltr,2024-10-05T14:30:10Z,1240801210,6047,,21281320,https://en.wikipedia.org/wiki/Abas_Ermenji,https://en.wikipedia.org/w/index.php?title=Abas_Ermenji&action=edit,https://en.wikipedia.org/wiki/Abas_Ermenji
75363633,0,Abass Sheikh Mohamed,wikitext,en,en,ltr,2024-09-27T02:42:27Z,1246061978,3030,,75554758,https://en.wikipedia.org/wiki/Abass_Sheikh_Mohamed,https://en.wikipedia.org/w/index.php?title=Abass_Sheikh_Mohamed&action=edit,https://en.wikipedia.org/wiki/Abass_Sheikh_Mohamed
33743139,0,Abba Bina,wikitext,en,en,ltr,2024-09-27T01:23:45Z,1214592995,3854,,38054209,https://en.wikipedia.org/wiki/Abba_Bina,https://en.wikipedia.org/w/index.php?title=Abba_Bina&action=edit,https://en.wikipedia.org/wiki/Abba_Bina
47665540,0,Abba Kyari,wikitext,en,en,ltr,2024-09-29T15:51:42Z,1248451106,17180,,47687769,https://en.wikipedia.org/wiki/Abba_Kyari,https://en.wikipedia.org/w/index.php?title=Abba_Kyari&action=edit,https://en.wikipedia.org/wiki/Abba_Kyari
70067086,0,Abbas Ali Akhtari,wikitext,en,en,ltr,2024-10-07T17:44:07Z,1228962136,11239,,70077524,https://en.wikipedia.org/wiki/Abbas_Ali_Akhtari,https://en.wikipedia.org/w/index.php?title=Abbas_Ali_Akhtari&action=edit,https://en.wikipedia.org/wiki/Abbas_Ali_Akhtari
31875078,0,Abbas Gueye,wikitext,en,en,ltr,2024-09-27T01:19:00Z,1187261448,1636,,32741636,https://en.wikipedia.org/wiki/Abbas_Gueye,https://en.wikipedia.org/w/index.php?title=Abbas_Gueye&action=edit,https://en.wikipedia.org/wiki/Abbas_Gueye
43739029,0,Abbas Mahdi,wikitext,en,en,ltr,2024-09-27T01:49:03Z,1033783405,1573,,43739038,https://en.wikipedia.org/wiki/Abbas_Mahdi,https://en.wikipedia.org/w/index.php?title=Abbas_Mahdi&action=edit,https://en.wikipedia.org/wiki/Abbas_Mahdi
22712306,0,Abbas Zaki,wikitext,en,en,ltr,2024-10-07T13:48:40Z,1247336761,3941,,22712311,https://en.wikipedia.org/wiki/Abbas_Zaki,https://en.wikipedia.org/w/index.php?title=Abbas_Zaki&action=edit,https://en.wikipedia.org/wiki/Abbas_Zaki
48987907,0,Abbo Nassour,wikitext,en,en,ltr,2024-09-13T10:20:35Z,1144389013,11794,,48989518,https://en.wikipedia.org/wiki/Abbo_Nassour,https://en.wikipedia.org/w/index.php?title=Abbo_Nassour&action=edit,https://en.wikipedia.org/wiki/Abbo_Nassour
